裝備名稱,裝備部位,基礎ATK/DEF,基礎穩定度,屬性分類,屬性名稱,屬性值1,屬性值2,說明,(英文)裝備名稱
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
無限長刀,旋風槍,88,60,stats,element_dark,1,,,Infini Glaive
,,,,,atk,10%,,,
,,,,,long_range_damage,3,,,
,,,,,physical_barrier,2000,,,
,,,,,max_mp,600,,,
,,,,,light_resistance,10,,,
,,,,,reduce_dmg_floor,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約776。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
無限長刀,旋風槍,88,60,stats,element_fire,1,,,Infini Glaive
,,,,,atk,10%,,,
,,,,,long_range_damage,3,,,
,,,,,physical_barrier,2000,,,
,,,,,max_mp,600,,,
,,,,,earth_resistance,10,,,
,,,,,reduce_dmg_floor,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約776。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
無限長刀,旋風槍,88,60,stats,element_dark,1,,,Infini Glaive
,,,,,atk,10%,,,
,,,,,atk_up_int,150,,,
,,,,,physical_barrier,3000,,,
,,,,,max_mp,200,,,
,,,,,light_resistance,25,,,
,,,,,reduce_dmg_floor,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約776。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
無限長刀,旋風槍,88,60,stats,element_fire,1,,,Infini Glaive
,,,,,atk,10%,,,
,,,,,atk_up_int,150,,,
,,,,,physical_barrier,3000,,,
,,,,,max_mp,200,,,
,,,,,earth_resistance,25,,,
,,,,,reduce_dmg_floor,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約776。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
無限長刀,旋風槍,88,60,stats,element_dark,1,,,Infini Glaive
,,,,,atk,10%,,,
,,,,,short_range_damage,3,,,
,,,,,physical_barrier,2000,,,
,,,,,max_mp,600,,,
,,,,,light_resistance,25,,,
,,,,,reduce_dmg_floor,10,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約776。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
無限長刀,旋風槍,88,60,stats,element_fire,1,,,Infini Glaive
,,,,,atk,10%,,,
,,,,,short_range_damage,3,,,
,,,,,physical_barrier,2000,,,
,,,,,max_mp,600,,,
,,,,,earth_resistance,25,,,
,,,,,reduce_dmg_floor,10,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約776。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
無限長刀,旋風槍,88,60,stats,element_dark,1,,,Infini Glaive
,,,,,accuracy,125,,,
,,,,,critical_rate,125,,,
,,,,,aspd,1000,,,
,,,,,guard_regenerate,35,,,
,,,,,guard_power,35,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約700。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_wind,1,,,Audio Console
,,,,,matk,10%,,,
,,,,,magic_pierce,30,,,
,,,,,magical_barrier,2000,,,
,,,,,attack_mp_recovery,10,,,
,,,,,water_resistance,10,,,
,,,,,reduce_dmg_meteor,10,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約242。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_earth,1,,,Audio Console
,,,,,matk,10%,,,
,,,,,magic_pierce,30,,,
,,,,,magical_barrier,2000,,,
,,,,,attack_mp_recovery,10,,,
,,,,,wind_resistance,10,,,
,,,,,reduce_dmg_meteor,10,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約242。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_wind,1,,,Audio Console
,,,,,max_mp,800,,,
,,,,,cspd,60%,,,
,,,,,invincible_aid_sec,3,,,
,,,,,item_cooldown,1,,,
,,,,,water_resistance,25,,,
,,,,,reduce_dmg_meteor,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約242。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_earth,1,,,Audio Console
,,,,,max_mp,800,,,
,,,,,cspd,60%,,,
,,,,,invincible_aid_sec,3,,,
,,,,,item_cooldown,1,,,
,,,,,wind_resistance,25,,,
,,,,,reduce_dmg_meteor,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約242。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_wind,1,,,Audio Console
,,,,,matk,10%,,,
,,,,,int,5%,,,
,,,,,magical_barrier,4000,,,
,,,,,attack_mp_recovery,7,,,
,,,,,water_resistance,15,,,
,,,,,reduce_dmg_meteor,15,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約242。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_earth,1,,,Audio Console
,,,,,matk,10%,,,
,,,,,int,5%,,,
,,,,,magical_barrier,4000,,,
,,,,,attack_mp_recovery,7,,,
,,,,,wind_resistance,15,,,
,,,,,reduce_dmg_meteor,15,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約242。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_wind,1,,,Audio Console
,,,,,matk,9%,,,
,,,,,aggro,-60,,,
,,,,,magical_barrier,6000,,,
,,,,,attack_mp_recovery,4,,,
,,,,,water_resistance,35,,,
,,,,,reduce_dmg_meteor,35,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約242。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_earth,1,,,Audio Console
,,,,,matk,9%,,,
,,,,,aggro,-60,,,
,,,,,magical_barrier,6000,,,
,,,,,attack_mp_recovery,4,,,
,,,,,wind_resistance,35,,,
,,,,,reduce_dmg_meteor,35,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約242。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
音之主控台,魔導具,27,70,stats,element_wind,1,,,Audio Console
,,,,,stability,12,,,
,,,,,critical_rate,125,,,
,,,,,cspd,1000,,,
,,,,,evasion_regenerate,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約217。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_fire,1,,,Patriot Edge
,,,,,atk,9%,,,
,,,,,aggro,-60,,,
,,,,,max_hp,5000,,,
,,,,,attack_mp_recovery,4,,,
,,,,,earth_resistance,25,,,
,,,,,reduce_dmg_bowling,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約194。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_earth,1,,,Patriot Edge
,,,,,atk,9%,,,
,,,,,aggro,-60,,,
,,,,,max_hp,5000,,,
,,,,,attack_mp_recovery,4,,,
,,,,,wind_resistance,25,,,
,,,,,reduce_dmg_bowling,25,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約194。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_fire,1,,,Patriot Edge
,,,,,atk,10%,,,
,,,,,ailment_resistance,15,,,
,,,,,physical_resistance,20,,,
,,,,,magic_resistance,20,,,
,,,,,earth_resistance,35,,,
,,,,,reduce_dmg_bowling,35,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約194。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_earth,1,,,Patriot Edge
,,,,,atk,10%,,,
,,,,,ailment_resistance,15,,,
,,,,,physical_resistance,20,,,
,,,,,magic_resistance,20,,,
,,,,,wind_resistance,35,,,
,,,,,reduce_dmg_bowling,35,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約194。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_fire,1,,,Patriot Edge
,,,,,atk,10%,,,
,,,,,short_range_damage,3,,,
,,,,,aggro,-20,,,
,,,,,attack_mp_recovery,10,,,
,,,,,earth_resistance,10,,,
,,,,,reduce_dmg_bowling,10,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約194。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_earth,1,,,Patriot Edge
,,,,,atk,10%,,,
,,,,,short_range_damage,3,,,
,,,,,aggro,-20,,,
,,,,,attack_mp_recovery,10,,,
,,,,,wind_resistance,10,,,
,,,,,reduce_dmg_bowling,10,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約194。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_fire,1,,,Patriot Edge
,,,,,atk,10%,,,
,,,,,dex,5%,,,
,,,,,aggro,-40,,,
,,,,,attack_mp_recovery,7,,,
,,,,,earth_resistance,15,,,
,,,,,reduce_dmg_bowling,15,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約194。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_earth,1,,,Patriot Edge
,,,,,atk,10%,,,
,,,,,dex,5%,,,
,,,,,aggro,-40,,,
,,,,,attack_mp_recovery,7,,,
,,,,,wind_resistance,15,,,
,,,,,reduce_dmg_bowling,15,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約194。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
故鄉之劍,拔刀劍,33,70,stats,element_fire,1,,,Patriot Edge
,,,,,accuracy,125,,,
,,,,,critical_rate,125,,,
,,,,,aspd,1000,,,
,,,,,anticipate,10,,,
,,,,,guard_break,10,,,
,,,,extra,caption,該武器屬性為兌換後隨機抽取同年度版本、同名武器中的一個，基礎ATK由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎ATK約174。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
風雅護盾,盾牌,5,,stats,guard_regenerate,30,,,Windgrace Shield
,,,,,guard_power,30,,,
,,,,,max_hp,2500,,,
,,,,,physical_resistance,10,,,
,,,,,magic_resistance,20,,,
,,,,,reduce_player_epicenter,5,,,
,,,,extra,caption,該盾牌屬性為兌換後隨機抽取同年度版本、同名盾牌中的一個，基礎DEF由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎DEF為108。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
風雅護盾,盾牌,5,,stats,guard_regenerate,30,,,Windgrace Shield
,,,,,guard_power,30,,,
,,,,,max_hp,2500,,,
,,,,,physical_resistance,20,,,
,,,,,magic_resistance,10,,,
,,,,,reduce_player_epicenter,5,,,
,,,,extra,caption,該盾牌屬性為兌換後隨機抽取同年度版本、同名盾牌中的一個，基礎DEF由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎DEF為108。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
風雅護盾,盾牌,5,,stats,guard_regenerate,30,,,Windgrace Shield
,,,,,guard_power,30,,,
,,,,,max_hp,5000,,,
,,,,,fractional_barrier,20,,,
,,,,,reduce_player_epicenter,10,,,
,,,,extra,caption,該盾牌屬性為兌換後隨機抽取同年度版本、同名盾牌中的一個，基礎DEF由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎DEF為108。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
風雅護盾,盾牌,5,,stats,guard_regenerate,30,,,Windgrace Shield
,,,,,guard_power,30,,,
,,,,,aggro,60,,,
,,,,,fractional_barrier,20,,,
,,,,,reduce_player_epicenter,10,,,
,,,,extra,caption,該盾牌屬性為兌換後隨機抽取同年度版本、同名盾牌中的一個，基礎DEF由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎DEF為108。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
風雅護盾,盾牌,5,,stats,guard_regenerate,20,,,Windgrace Shield
,,,,,guard_power,20,,,
,,,,,atk,2%,,,
,,,,,short_range_damage,1,,,
,,,,,reduce_player_epicenter,-10,,,
,,,,extra,caption,該盾牌屬性為兌換後隨機抽取同年度版本、同名盾牌中的一個，基礎DEF由兌換時玩家帳號中最高的角色等級決定。達到活動舉辦時的等級上限260級時，實際基礎DEF為55。,,,
,,,,obtain,type,exchange,,,
,,,,,name,初音未來MAGICAL點數交換所(後篇),,,
,,,,,map,初音未來合作活動會場（2023年）,,,
紅炎之翼,魔導具,183,70,stats,element_fire,1,,,Flammarem
,,,,,stronger_against_earth,5,,,
,,,,,matk,8%,,,
,,,,,agi,8%,,,
,,,,,aspd,80%,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"蝙蝠的羽翼#15,旋型膜#15,獸品#500,魔素#25",,,
,,,,,cost,1050,,,
,,,,,item_level,205,,,
,,,,,item_difficulty,210,,,
,,,,,potential,49,,,
紅炎大劍,雙手劍,550,70,stats,element_fire,1,,,Flamma Blade
,,,,,stronger_against_earth,5,,,
,,,,,atk,8%,,,
,,,,,max_hp,4000,,,
,,,,,max_hp,20%,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"有熱度的玻璃#5,堅硬的門牙#10,金屬#300,獸品#225",,,
,,,,,cost,1050,,,
,,,,,item_level,205,,,
,,,,,item_difficulty,210,,,
,,,,,potential,49,,,
錨弩,弩,293,50,stats,element_wind,1,,,Anchor Bowgun
,,,,,max_hp,20%,,,
,,,,,vit,8%,,,
,,,,,physical_resistance,20,,,
,,,,,aggro,20,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"鋒利的莖#15,小羽翼#10,金屬#400,木材#125",,,
,,,,,cost,1050,,,
,,,,,item_level,205,,,
,,,,,item_difficulty,210,,,
,,,,,potential,49,,,
晶石刀,拔刀劍,146,70,stats,element_earth,1,,,Blue Spinel Sword
,,,,,max_hp,30%,,,
,,,,,physical_resistance,20,,,
,,,,,magic_resistance,25,,,
,,,,,aggro,70,body.defense,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"生長的礦石#10,古老的岩石#5,金屬#350,藥品#175",,,
,,,,,cost,1050,,,
,,,,,item_level,205,,,
,,,,,item_difficulty,210,,,
,,,,,potential,49,,,
巫師的護肩,追加裝備,163,,stats,natural_hp_regen,25%,,,Shaman Shoulder Pad
,,,,,aspd,25%,,,
,,,,,cspd,25%,,,
,,,,,light_resistance,25,,,
,,,,,dark_resistance,25,,,
,,,,,neutral_resistance,25,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"金剛角#10,順滑的馬毛#30,暗淡的發光眼球#2,獸品#590",,,
,,,,,cost,1175,,,
小鳥的議事廳,追加裝備,48,,stats,weapon_atk,30,,,Tomtits Gathering Spot
,,,,,unsheathe_attack_multiplier,8,,,
,,,,,cspd,40%,,,
,,,,,max_mp,600,sub.ninjutsu_scroll,,
,,,,obtain,type,mobs,,,
,,,,,name,鵝掌柴木怪,,,
,,,,,map,卡布力．傑巴力,,,
岩角獸的手環,特殊裝備,0,,stats,physical_resistance,20,,,Rock Horn Beast Bangle
,,,,,anticipate,5,,,
,,,,,fractional_barrier,10,body.defense,,
,,,,obtain,type,mobs,,,
,,,,,name,岩角龍,,,
,,,,,map,卡布力．傑巴力,,,
羊羊兜帽,追加裝備,145,,stats,max_mp,100,,,Sheep Hood
,,,,,ailment_resistance,20,,,
,,,,,invincible_aid_sec,3,,,
,,,,obtain,type,mobs,,,
,,,,,name,寶石馬,,,
,,,,,map,卡布力．傑巴力,,,
太陽之杖,法杖,367,60,stats,element_fire,1,,,Solar Staff
,,,,,stability,17,,,
,,,,,magic_pierce,16,,,
,,,,,cspd,30%,,,
,,,,,natural_hp_regen,30%,,,
,,,,obtain,type,mobs,,,
,,,,,name,薔薇蜜,,,
,,,,,map,傑巴力．庫佈瓦．第1區,,,
,,,,obtain,type,mobs,,,
,,,,,name,薔薇蜜,,,
,,,,,map,傑巴力．庫佈瓦．第2區,,,
,,,,obtain,type,mobs,,,
,,,,,name,薔薇蜜,,,
,,,,,map,傑巴力．庫佈瓦．第3區,,,
彩泡弩弓,弓,281,60,stats,element_light,1,,,Savon Bow
,,,,,atk,9%,,,
,,,,,str,9%,,,
,,,,,attack_mp_recovery,5,,,
,,,,,natural_mp_regen,25,,,
,,,,,physical_resistance,40,,,
,,,,,barrier_cooldown,20,,,
,,,,,evasion_regenerate,50,,,
,,,,obtain,type,boss,,,
,,,,,name,伽拉木瓦,,,
,,,,,map,傑巴力．庫佈瓦．山頂,,,
彩泡弩弓,弓,281,60,stats,element_light,1,,,Savon Bow
,,,,,atk,9%,,,
,,,,,str,9%,,,
,,,,,attack_mp_recovery,6,,,
,,,,,natural_mp_regen,30,,,
,,,,,physical_resistance,30,,,
,,,,,barrier_cooldown,10,,,
,,,,,evasion_regenerate,25,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"伽拉木瓦的羽毛#2,神奇的泡泡水#1,獸品#1450,金屬#1000",,,
,,,,,cost,2450,,,
,,,,,item_level,240,,,
,,,,,item_difficulty,245,,,
,,,,,potential,54,,,
彩泡寶劍,雙手劍,703,70,stats,element_light,1,,,Savon Spada
,,,,,atk,9%,,,
,,,,,str,9%,,,
,,,,,max_mp,500,,,
,,,,,natural_mp_regen,25,,,
,,,,,magic_resistance,40,,,
,,,,,barrier_cooldown,20,,,
,,,,,guard_power,100,,,
,,,,obtain,type,boss,,,
,,,,,name,伽拉木瓦,,,
,,,,,map,傑巴力．庫佈瓦．山頂,,,
彩泡寶劍,雙手劍,703,70,stats,element_light,1,,,Savon Spada
,,,,,atk,9%,,,
,,,,,str,9%,,,
,,,,,max_mp,500,,,
,,,,,natural_mp_regen,25,,,
,,,,,magic_resistance,40,,,
,,,,,barrier_cooldown,20,,,
,,,,,guard_power,100,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"伽拉木瓦的角#2,神奇的泡泡水#1,獸品#1250,金屬#1200",,,
,,,,,cost,2450,,,
,,,,,item_level,240,,,
,,,,,item_difficulty,245,,,
,,,,,potential,54,,,
點心紙袋,追加裝備,110,,stats,natural_mp_regen,30%,,,Candy Paper Bag
,,,,,barrier_cooldown,20,,,
,,,,,item_cooldown,1,,,
,,,,obtain,type,mobs,,,
,,,,,name,巨尾松鼠,,,
,,,,,map,酥餅平原 (白色情人節),,,
針葉箭,箭矢,110,20,stats,element_earth,1,,,Spiny Leaf Arrow
,,,,,max_hp,10%,,,
,,,,,fractional_barrier,10,,,
,,,,,aggro,10,,,
,,,,obtain,type,mobs,,,
,,,,,name,草鐮,,,
,,,,,map,酥餅平原 (白色情人節),,,
酥餅手環,特殊裝備,0,,stats,max_mp,300,,,Sable Bracelet
,,,,,stability,5,,,
,,,,,def,5%,,,
,,,,,aggro,-5,,,
,,,,obtain,type,mobs,,,
,,,,,name,飛蛋,,,
,,,,,map,酥餅平原 (白色情人節),,,
心形巧克力餅乾,追加裝備,60,,stats,max_mp,400,,,Heart Chocolate Biscuit
,,,,,stability,10,,,
,,,,,guard_break,14,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"無鹽黃油#20,香濃雞蛋#10,藥品#150",,,
,,,,,cost,200,,,
蘋果怪紙杯蛋糕,追加裝備,130,,stats,int,4%,,,Coryn Cupcake
,,,,,long_range_damage,8,,,
,,,,,additional_magic,120,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"香濃雞蛋#20,杏仁粉#10,曲奇雙角#4,金屬#200",,,
,,,,,cost,200,,,
巧克力餅乾泰迪,追加裝備,140,,stats,max_hp,5000,,,Choco Biscuit Bear
,,,,,magic_resistance,40,,,
,,,,,ailment_resistance,5,,,
,,,,,physical_resistance,-10,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"杏仁粉#20,無鹽黃油#10,心形串片#2,布料#250",,,
,,,,,cost,250,,,
白色情人節耳環,追加裝備,15,,stats,atk,9%,,,White Day Earrings
,,,,,attack_mp_recovery,9,,,
,,,,,critical_rate,9,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"曲奇雙角#5,心形串片#3,藥品#300,魔素#100",,,
,,,,,cost,250,,,
怪點心魔法盾,盾牌,99,,stats,critical_rate,100%,,,Lolliodd Magic Shield
,,,,,additional_meele,50,,,
,,,,,weapon_atk,25%,,,
,,,,,reduce_dmg_floor,25,,,
,,,,,guard_regenerate,-75,,,
,,,,obtain,type,smith,,,
,,,,recipe,materials,"◇邪惡雷菲娜#1,◇魔力費雷西亞#1,發狂的靈魂#20,神奇蛋白霜#99",,,
,,,,,cost,100000,,,
桿麵棍（劍）,單手劍,444,90,stats,stronger_against_neutral,35,,,Rolling Pin Sword
,,,,,max_hp,8000,,,
,,,,,atk,10%,,,
,,,,,anticipate,15,,,
,,,,,physical_resistance,20,,,
,,,,,magic_resistance,25,,,
,,,,,motion_speed,5,,,
,,,,obtain,type,boss,,,
,,,,,name,魔力費雷西亞（可可）,,,
,,,,,map,艾爾．斯卡羅後巷 (白色情人節),,,
桿麵棍（杖）,法杖,444,70,stats,stronger_against_neutral,35,,,Rolling Pin Staff
,,,,,max_hp,8000,,,
,,,,,matk,10%,,,
,,,,,guard_break,15,,,
,,,,,magic_resistance,20,,,
,,,,,physical_resistance,25,,,
,,,,,motion_speed,5,,,
,,,,obtain,type,boss,,,
,,,,,name,魔力費雷西亞（可可）,,,
,,,,,map,艾爾．斯卡羅後巷 (白色情人節),,,
曲奇角,追加裝備,157,,stats,matk,9%,,,Cookie Horns
,,,,,magic_pierce,9,,,
,,,,,max_mp,90,,,
